bank_id,scenario_id,size_score,concentration_flag,top_sector_weight,sector_risk_score,bank_risk_factor,loan_to_asset_ratio,deposit_to_asset_ratio,car_buffer,liquidity_buffer,baseline_roa_pct,severity_score,shock_severity_score,concentration_x_severity,risk_x_severity,bank_condition,bank_condition_code
BANK_001,SCN_0001,1,1,0.2963,-1.401151583079774,0.0793347235199925,0.6915552933292932,0.8029997715032906,2.292955517189011,31.724446627185557,1.584490631917142,3,0.515855979331553,3,0.23800417055997752,Healthy,0
BANK_002,SCN_0001,1,0,0.1507,-1.8521251233184979,-0.0079718210906399,0.6242419561509538,0.7892640750310277,3.1976931961510164,18.03029030981152,1.1306806751823386,3,0.515855979331553,0,-0.0239154632719197,Healthy,0
BANK_003,SCN_0001,2,0,0.2311,-2.0315928229165574,0.0179275634956316,0.5649004862808431,0.7754617681429223,4.883202004377647,15.212887450539526,0.8906010029512541,3,0.515855979331553,0,0.053782690486894796,Healthy,0
BANK_004,SCN_0001,1,0,0.2009,-2.2874256164167437,-0.1035653752825811,0.6339784392724547,0.6543224159949357,3.9187644154177583,23.140971348906874,1.2365460651845248,3,0.515855979331553,0,-0.3106961258477433,Stressed,1
BANK_005,SCN_0001,0,0,0.2449,-2.31925351613239,-0.0118638326109882,0.6642808156766259,0.848475112935059,2.3106582518998167,51.58182512820869,1.3639966454293753,3,0.515855979331553,0,-0.0355914978329646,Healthy,0
BANK_006,SCN_0001,2,1,0.487,-1.742088063452327,-0.1218813060423628,0.6037079388127493,0.7855317347271592,-1.6903097818558397,19.025631961397636,0.9627078918828516,3,0.515855979331553,3,-0.3656439181270884,Stressed,1
BANK_007,SCN_0001,1,1,0.4572,-2.673242196327491,-0.0654146440067796,0.686701169434729,0.8069526898409957,2.5680890064626123,44.11707241776466,1.0083664649025563,3,0.515855979331553,3,-0.1962439320203388,Healthy,0
BANK_008,SCN_0001,1,1,0.2645,-2.3595668349056305,0.0232169889626255,0.6402308304003591,0.6807226790445975,-0.47481245506596714,15.236525120506698,1.193445003996418,3,0.515855979331553,3,0.0696509668878765,Stressed,1
BANK_009,SCN_0001,0,1,0.4512,-1.5962971970862088,-0.010348826806596,0.6504944487956773,0.8104051760448813,2.4746909678417364,21.049335967124875,1.183131525678578,3,0.515855979331553,3,-0.031046480419788,Healthy,0
BANK_010,SCN_0001,1,1,0.475,-1.8534234708586788,-0.1178303623114865,0.6374178879386946,0.7565444552191573,2.1197824685465694,6.051523533994484,1.6958335738379413,3,0.515855979331553,3,-0.3534910869344595,Stressed,1
BANK_011,SCN_0001,0,0,0.2179,-2.1318530721868334,-0.2063238276804743,0.6963222415755147,0.7545263550583863,2.1296604318186407,28.277805707453894,1.946483872660483,3,0.515855979331553,0,-0.6189714830414229,Healthy,0
